38459.city,MIRAMAR BEACH,ST FRANCIS
41014.city,ALMA,MADISONVILLE
44585.condition,Pneumonia,Heart Failure
38710.stateavg,IN_PN-4,KS_HF-4
21377.stateavg,MA_SCIP-VTE-1,FL_HF-4
33461.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Heart Attack Patients Given Aspirin at Arrival
39696.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Attack Patients Given Beta Blocker at Discharge
20507.stateavg,MI_HF-3,FL_AMI-2
32463.stateavg,KY_HF-4,KS_AMI-8A
12848.city,IDA GROVE,GLENDORA
49398.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Pneumonia Patients Given Smoking Cessation Advice/Counseling
10009.stateavg,MA_PN-5C,CA_HF-3
15087.condition,Pneumonia,Heart Failure
36947.condition,Heart Failure,Pneumonia
9992.city,WAUKON,SAN LEANDRO
10994.address1,ONE SAINT JOSEPH DRIVE,351 S PATTERSON AVE
30954.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
28623.city,FREMONT,GREENVILLE
29672.address1,1700 OLD LEBANON ROAD,5666 EAST STATE STREET
26618.stateavg,HI_AMI-3,ID_SCIP-INF-1
34138.address1,1304 FRANKLIN AVENUE,801 S MAIN ST
38988.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
16241.city,HARVARD,WESTMINSTER
21803.condition,Pneumonia,Heart Attack
36087.condition,Heart Attack,Heart Failure
32036.stateavg,GA_SCIP-INF-2,IN_SCIP-INF-3
41412.stateavg,KS_AMI-5,KY_AMI-7A
6528.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
15384.stateavg,KS_AMI-5,CO_PN-6
22947.stateavg,FL_AMI-1,GA_PN-4
13514.address1,2810 AMBASSADOR CAFFERY PARKWAY,1500 SAN PABLO ST
21542.city,STURGIS,LARGO
27054.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
30876.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
31414.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
44133.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
15541.stateavg,CA_HF-1,CO_SCIP-INF-6
2797.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
9502.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
27647.address1,330 BROOKLINE AVENUE,3249 SOUTH OAK PARK AVENUE
22719.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8239.city,GREAT BEND,LOMPOC
26225.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39638.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
16210.city,MUSKEGON,AURORA
2280.city,FRAMINGHAM,GREENVILLE
22121.stateavg,HI_AMI-7A,FL_SCIP-INF-1
31924.stateavg,AL_AMI-2,IN_HF-2
35556.measurename,Pneumonia Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Beta Blocker at Discharge
45484.condition,Heart Attack,Surgical Infection Prevention
17720.condition,Heart Attack,Surgical Infection Prevention
3242.stateavg,GA_PN-2,AZ_PN-5C
35354.address1,2500 SOUTH WOODWORTH LOOP,603 ROSARY DRIVE
45937.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,surgery patients who were given the  right kind  of antibiotic to help prevent infection
30636.stateavg,CA_AMI-1,IL_HF-1
22562.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
3777.condition,Surgical Infection Prevention,Pneumonia
18873.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
42385.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
3769.city,LONG BEACH,SAN CARLOS
28.city,NEW ORLEANS,DOTHAN
16221.stateavg,AR_SCIP-INF-4,CO_HF-4
45989.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
18542.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
9711.address1,910 WALLACE AVENUE,300 W HUNTINGTON DR
39859.city,SPRINGFIELD,ATCHISON
4578.address1,8201 W BROWARD BLVD,520 ROSE LANE
26072.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
31569.address1,300 CANAL STREET,801 E LASALLE AVENUE
14748.stateavg,IN_AMI-8A,CA_SCIP-INF-2
40487.measurename,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma,Heart Attack Patients Given Smoking Cessation Advice/Counseling
1208.condition,Heart Attack,Surgical Infection Prevention
12576.condition,Heart Attack,Surgical Infection Prevention
22214.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
31093.stateavg,CA_AMI-5,IL_HF-4
31602.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
42448.city,FORT SMITH,SULPHUR
36352.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
47648.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
45065.condition,Heart Attack,Pneumonia
2125.stateavg,GA_HF-4,AL_AMI-1
26991.condition,Heart Attack,Pneumonia
2769.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
41751.city,HOLLYWOOD,WILLIAMSTOWN
18313.stateavg,FL_SCIP-INF-4,FL_SCIP-CARD-2
48256.address1,916 MYRTLE AVE,421 N MAIN ST
43146.condition,Heart Failure,Pneumonia
38151.address1,1101 MICHIGAN AVE,1829 COLLEGE AVENUE
27240.condition,Surgical Infection Prevention,Heart Attack
44197.address1,417 THIRD AVENUE,2400 HOSPITAL DR
31373.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
41029.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
34456.stateavg,MA_SCIP-INF-3,IA_PN-7
45001.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Aspirin at Discharge
1291.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38313.measurename,Heart Attack Patients Given Aspirin at Arrival,Pneumonia Patients Assessed and Given Influenza Vaccination
43227.address1,1835 FRANKLIN ST,1057 PAUL MAILLARD ROAD
43387.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
43741.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22394.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Assessed and Given Influenza Vaccination
19798.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
33.stateavg,CA_HF-3,AL_PN-4
28167.stateavg,HI_HF-3,IL_HF-4
27872.city,DYERSVILLE,HINES
35014.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
17472.condition,Heart Failure,Surgical Infection Prevention
41620.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
21835.condition,Pneumonia,Heart Failure
30821.address1,900 23RD ST NW,107 TREMONT STREET
48081.stateavg,KY_HF-4,MA_AMI-3
4021.address1,1211 MAIN STREET,18701 NORTH 67TH AVENUE
29572.condition,Heart Attack,Pneumonia
45028.address1,1100 LAS TABLAS RD,409 FIRST STREET
42285.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
13435.city,BATON ROUGE,GILROY
1394.condition,Surgical Infection Prevention,Heart Failure
2214.condition,Surgical Infection Prevention,Pneumonia
22440.address1,1200 NORTH 7TH STREET,533 W CARLTON RD
49439.city,BENSON,IRON MOUNTAIN
37940.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
35968.city,GLENDALE,ROCK VALLEY
4102.address1,914 PINE STREET,1930 EAST THOMAS ROAD
11179.stateavg,CA_SCIP-INF-1,CA_SCIP-VTE-1
40055.stateavg,GA_PN-6,KY_PN-4
31185.city,MONTICELLO,CARLINVILLE
44408.address1,3231 MCMULLEN BOOTH RD,1118 FARMERVILLE STREET
47632.city,OAKLAND,MARLBOROUGH
6889.address1,ONE INGALLS DRIVE,4001 J ST
42999.city,AURORA,SHREVEPORT
35194.address1,525 WEST ACACIA STREET,2720 STONE PARK BOULEVARD
21099.city,WESTON,FORT MYERS
25405.hospitaltype,Critical Access Hospitals,Acute Care - VA Medical Center
9059.measurename,Heart Failure Patients Given Discharge Instructions,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
24611.stateavg,CT_SCIP-VTE-1,GA_SCIP-INF-6
26511.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46343.condition,Heart Failure,Pneumonia
25190.condition,Surgical Infection Prevention,Heart Failure
40672.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18498.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
13772.stateavg,DE_SCIP-INF-1,CA_HF-2
13458.city,MCHENRY,SAN RAMON
41223.measurename,Heart Failure Patients Given Discharge Instructions,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
174.city,ANDERSON,GUNTERSVILLE
35863.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
18861.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
29645.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
17907.address1,520 NORTH THIRD AVENUE,424 SAVANNAH RD
24427.condition,Heart Failure,Pneumonia
42621.stateavg,CA_PN-5C,LA_AMI-8A
44213.stateavg,AZ_AMI-2,LA_SCIP-INF-3
34175.city,HAZARD,BEDFORD
33879.condition,Pneumonia,Surgical Infection Prevention
41196.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
39334.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
39260.stateavg,IA_PN-4,KS_SCIP-VTE-1
20708.address1,50 HOSPITAL HILL ROAD; PO BOX 789,701 W COCOA BEACH CAUSEWAY
31082.city,THOUSAND OAKS,PANA
49240.city,CLINTON,HILLSDALE
21108.address1,605 SOUTH MAIN AVENUE,13681 DOCTOR'S WAY
11806.stateavg,KY_SCIP-INF-1,CA_PN-5C
33918.city,HENDERSON,FRANKFORT
48901.condition,Heart Attack,Pneumonia
47181.address1,135 HIGHWAY 402,60 HOSPITAL ROAD
13791.stateavg,ID_PN-4,CA_AMI-3
35602.city,FORT BRAGG,WAUKON
32662.condition,Heart Failure,Heart Attack
14860.city,WASHINGTON,GARBERVILLE
13425.city,FRESNO,RIVERSIDE
24817.stateavg,CA_SCIP-CARD-2,GA_PN-7
23681.address1,2500 SW 75TH AVENUE,1199 PRINCE AVENUE
15467.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
38163.stateavg,CO_SCIP-INF-2,KS_PN-7
12266.address1,100 BROWN ST,520 WEST I ST
37452.city,MARIANNA,LEAVENWORTH;
7444.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8291.condition,Heart Attack,Heart Failure
15238.address1,7500 HOSPITAL DRIVE,10121 PINE AVE
7079.stateavg,CA_HF-3,CA_SCIP-INF-4
19986.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
23601.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
33498.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26179.condition,Heart Failure,Surgical Infection Prevention
48000.address1,2000 MOWRY AVE,243 CHARLES STREET
20716.condition,Heart Attack,Heart Failure
22356.hospitaltype,Critical Access Hospitals,Acute Care - VA Medical Center
10080.stateavg,CA_PN-4,CA_AMI-7A
33810.condition,Heart Failure,Surgical Infection Prevention
43149.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
1535.address1,624 E ELDER ST,508 GREEN STREET
18689.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
30704.city,LOS ANGELES,KEWANEE
11636.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18006.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
40379.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
6675.condition,Surgical Infection Prevention,Heart Attack
46261.stateavg,CA_PN-6,MD_HF-3
27217.address1,645 SOUTH CENTRAL AVE,400 NORTH PLEASANT AVENUE
22153.city,GALESBURG,THE VILLAGES
35709.address1,55 FOUNDATION DRIVE,1000 WEST LINCOLNWAY
46581.condition,Surgical Infection Prevention,Heart Attack
18855.condition,Surgical Infection Prevention,Heart Attack
24381.city,HAVANA,MACON
29365.condition,Surgical Infection Prevention,Heart Attack
27510.condition,Heart Attack,Surgical Infection Prevention
35757.city,SAINT AUGUSTINE,BLOOMFIELD
33459.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
13755.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
48482.address1,100 BROWN ST,1153 CENTRE STREET
5497.condition,Heart Attack,Pneumonia
44216.address1,2525 S MICHIGAN AVE,2400 HOSPITAL DR
9669.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
10043.condition,Heart Failure,Surgical Infection Prevention
45879.condition,Surgical Infection Prevention,Pneumonia
29082.stateavg,AL_PN-2,IL_SCIP-INF-4
29535.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
41513.stateavg,IL_SCIP-VTE-1,KY_AMI-8A
1851.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
48715.condition,Heart Failure,Heart Attack
9883.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
7191.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
18938.stateavg,CA_AMI-3,FL_SCIP-INF-3
39753.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
2441.city,TUCSON,ATMORE
27104.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients who were given the  right kind  of antibiotic to help prevent infection
10717.city,ANCHORAGE,CORONA
28755.city,SUN VALLEY,CHICAGO
3887.condition,Heart Attack,Surgical Infection Prevention
34810.stateavg,MA_HF-2,IA_PN-5C
26511.stateavg,KY_SCIP-INF-4,ID_PN-2
19805.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
33636.address1,901 WILSON STREET,4007 GATEWAY BLVD
13433.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,Heart Attack Patients Given Aspirin at Discharge
38803.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
32912.address1,85 HERRICK STREET,2400 SOUTH ST
28767.address1,1703 NORTH BUERKLE ROAD,3240 W FRANKLIN BLVD
13645.measurename,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
27717.city,HARLAN,PALOS HEIGHTS
34102.stateavg,AL_SCIP-VTE-2,IN_PN-7
47708.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
